date,open,high,low,close,volume,symbol
2023-05-02,551.45,554.75,549.25,550.1,139408.0,LICI.BSE
2023-04-28,548.0,553.0,546.55,549.95,69777.0,LICI.BSE
2023-04-27,547.5,553.0,542.75,545.45,33210.0,LICI.BSE
2023-04-26,548.0,550.6,547.2,547.5,31841.0,LICI.BSE
2023-04-25,551.0,556.45,547.2,548.2,45615.0,LICI.BSE
2023-04-24,548.05,553.3,547.15,549.3,65131.0,LICI.BSE
2023-04-21,550.7,550.7,545.15,548.2,72990.0,LICI.BSE
2023-04-20,546.7,556.0,546.15,552.0,82200.0,LICI.BSE
2023-04-19,548.45,550.0,545.1,546.75,73380.0,LICI.BSE
2023-04-18,545.55,552.0,545.55,548.45,71352.0,LICI.BSE
2023-04-17,550.0,551.0,544.0,544.6,54090.0,LICI.BSE
2023-04-13,549.5,553.65,548.5,550.85,78000.0,LICI.BSE
2023-04-12,551.1,554.0,549.05,549.45,76711.0,LICI.BSE
2023-04-11,549.15,555.0,549.15,550.5,31859.0,LICI.BSE
2023-04-10,553.55,555.8,548.5,549.15,41823.0,LICI.BSE
2023-04-06,550.2,556.35,548.15,550.35,140417.0,LICI.BSE
2023-04-05,547.25,555.0,546.65,550.2,123816.0,LICI.BSE
2023-04-03,540.0,548.5,537.75,544.85,140960.0,LICI.BSE
2023-03-31,534.0,546.7,531.5,534.65,1236846.0,LICI.BSE
2023-03-29,536.9,542.55,530.2,532.15,1432941.0,LICI.BSE
2023-03-28,545.25,549.5,535.0,536.95,220412.0,LICI.BSE
2023-03-27,561.0,562.0,540.05,545.2,255287.0,LICI.BSE
2023-03-24,569.1,680.0,559.0,560.05,295314.0,LICI.BSE
2023-03-23,572.9,574.85,568.0,569.05,118498.0,LICI.BSE
2023-03-22,572.05,577.7,572.0,572.8,100304.0,LICI.BSE
2023-03-21,576.1,578.75,571.5,572.75,39960.0,LICI.BSE
2023-03-20,578.4,579.4,570.45,574.35,46670.0,LICI.BSE
2023-03-17,574.3,581.5,574.3,579.15,136073.0,LICI.BSE
2023-03-16,576.05,578.95,570.7,572.65,115375.0,LICI.BSE
2023-03-15,581.95,586.7,575.5,577.65,67668.0,LICI.BSE
2023-03-14,584.25,587.95,575.4,578.4,139524.0,LICI.BSE
2023-03-13,592.65,598.2,580.25,582.5,150979.0,LICI.BSE
2023-03-10,594.95,597.0,590.1,595.55,32458.0,LICI.BSE
2023-03-09,605.0,606.6,592.6,598.5,131383.0,LICI.BSE
2023-03-08,610.0,610.4,602.1,602.95,110721.0,LICI.BSE
2023-03-06,620.95,625.0,610.0,611.85,177201.0,LICI.BSE
2023-03-03,607.4,619.0,607.4,615.5,97154.0,LICI.BSE
2023-03-02,601.3,607.3,596.85,600.65,75494.0,LICI.BSE
2023-03-01,581.05,604.3,580.8,601.25,179675.0,LICI.BSE
2023-02-28,567.75,582.0,567.75,578.45,162376.0,LICI.BSE
2023-02-27,584.05,585.0,566.0,567.75,273458.0,LICI.BSE
2023-02-24,590.9,593.95,584.1,584.65,150336.0,LICI.BSE
2023-02-23,595.3,598.5,590.4,590.95,39778.0,LICI.BSE
2023-02-22,596.05,598.7,593.7,595.8,97657.0,LICI.BSE
2023-02-21,600.0,600.95,596.65,597.4,75662.0,LICI.BSE
2023-02-20,603.55,604.35,597.05,598.55,67722.0,LICI.BSE
2023-02-17,602.7,606.0,600.6,602.25,42136.0,LICI.BSE
2023-02-16,602.6,606.35,602.0,602.7,121086.0,LICI.BSE
2023-02-15,596.5,603.8,595.5,601.2,107393.0,LICI.BSE
2023-02-14,606.5,609.95,596.5,598.3,150673.0,LICI.BSE
2023-02-13,620.15,622.95,605.1,606.7,180737.0,LICI.BSE
2023-02-10,629.0,639.9,618.0,620.1,339889.0,LICI.BSE
2023-02-09,614.95,618.0,609.3,613.35,91951.0,LICI.BSE
2023-02-08,604.3,612.65,604.3,610.1,168369.0,LICI.BSE
2023-02-07,602.5,618.3,600.95,603.45,275769.0,LICI.BSE
2023-02-06,600.15,607.5,596.5,600.0,259653.0,LICI.BSE
2023-02-03,601.0,604.4,586.2,599.1,402923.0,LICI.BSE
2023-02-02,584.85,606.1,583.5,599.2,429944.0,LICI.BSE
2023-02-01,660.0,665.0,582.45,598.8,815637.0,LICI.BSE
2023-01-31,660.0,663.25,651.0,653.6,105773.0,LICI.BSE
2023-01-30,643.05,684.0,639.7,656.4,163802.0,LICI.BSE
2023-01-27,690.0,692.85,660.0,665.55,126851.0,LICI.BSE
2023-01-25,702.5,704.85,687.0,689.3,132644.0,LICI.BSE
2023-01-24,701.35,714.5,700.5,702.2,53315.0,LICI.BSE
2023-01-23,698.5,704.7,698.5,700.7,73049.0,LICI.BSE
2023-01-20,702.5,705.6,687.95,698.6,92218.0,LICI.BSE
2023-01-19,704.5,710.95,700.55,701.6,82537.0,LICI.BSE
2023-01-18,705.0,709.5,702.85,706.65,38225.0,LICI.BSE
2023-01-17,707.1,711.3,699.05,705.35,83006.0,LICI.BSE
2023-01-16,713.5,718.0,707.75,709.75,35411.0,LICI.BSE
2023-01-13,707.4,716.05,705.0,712.7,100328.0,LICI.BSE
2023-01-12,716.05,718.15,703.35,705.55,59858.0,LICI.BSE
2023-01-11,714.9,723.25,710.45,714.75,119521.0,LICI.BSE
2023-01-10,711.0,718.5,708.35,715.05,42036.0,LICI.BSE
2023-01-09,713.1,718.1,708.0,711.5,59097.0,LICI.BSE
2023-01-06,727.0,728.75,704.9,706.9,206579.0,LICI.BSE
2023-01-05,731.0,738.35,722.8,727.95,101606.0,LICI.BSE
2023-01-04,736.3,745.95,728.45,730.75,396482.0,LICI.BSE
2023-01-03,717.3,737.0,715.5,734.85,223936.0,LICI.BSE
2023-01-02,684.0,715.0,684.0,709.35,260453.0,LICI.BSE
2022-12-30,685.2,692.0,683.2,684.6,95105.0,LICI.BSE
2022-12-29,686.0,686.15,681.05,683.7,37787.0,LICI.BSE
2022-12-28,690.75,693.0,684.25,686.9,116182.0,LICI.BSE
2022-12-27,694.05,698.95,681.2,692.8,97381.0,LICI.BSE
2022-12-26,659.1,690.8,659.1,687.85,301878.0,LICI.BSE
2022-12-23,680.0,686.9,655.5,659.05,401348.0,LICI.BSE
2022-12-22,704.0,713.9,680.0,681.7,491499.0,LICI.BSE
2022-12-21,740.6,747.55,698.05,702.05,447580.0,LICI.BSE
2022-12-20,738.0,754.4,730.35,740.0,445109.0,LICI.BSE
2022-12-19,690.0,741.5,689.4,734.55,554672.0,LICI.BSE
2022-12-16,704.95,711.45,686.9,688.6,122812.0,LICI.BSE
2022-12-15,727.45,730.0,706.0,708.65,295159.0,LICI.BSE
2022-12-14,723.0,732.0,711.9,724.45,225225.0,LICI.BSE
2022-12-13,698.8,724.4,698.8,718.05,679447.0,LICI.BSE
2022-12-12,671.3,703.0,670.0,697.2,229846.0,LICI.BSE
2022-12-09,664.0,675.85,664.0,671.65,312759.0,LICI.BSE
2022-12-08,654.3,670.0,653.0,662.65,133852.0,LICI.BSE
2022-12-07,648.35,657.7,648.35,653.85,125333.0,LICI.BSE
2022-12-06,651.45,658.5,649.0,651.75,59817.0,LICI.BSE
2022-12-05,650.0,654.55,649.1,651.9,46907.0,LICI.BSE
2022-12-02,647.25,653.45,647.25,651.1,44178.0,LICI.BSE
2022-12-01,636.55,658.0,636.55,650.7,127055.0,LICI.BSE
2022-11-30,635.0,639.9,632.75,636.15,102428.0,LICI.BSE
2022-11-29,628.0,643.45,628.0,637.05,136379.0,LICI.BSE
2022-11-28,627.3,633.0,627.3,630.0,106006.0,LICI.BSE
2022-11-25,625.1,630.8,625.1,627.85,104632.0,LICI.BSE
2022-11-24,622.3,631.1,622.3,624.45,56666.0,LICI.BSE
2022-11-23,627.0,628.95,620.1,621.05,53398.0,LICI.BSE
